0,38,0,13,0,1,0,0
0,0,0,23,0,1,0,0
0,0,0,10,0,0,0,0
0,0,0,3,0,0,0,0
0,0,0,19,3,0,0,0
1,0,0,4,0,0,0,0
0,0,0,30,22,0,0,0
0,0,0,16,9,0,0,0
0,0,0,3,2,0,0,0
0,0,0,3,0,0,2,0
0,0,0,5,0,0,1,0
0,0,0,7,0,0,0,0
0,102,0,0,0,0,0,0
0,0,0,28,1,0,0,0
0,2,0,1,0,0,0,0
0,0,0,3,0,0,0,0
0,0,0,6,18,0,0,0
0,0,0,3,2,0,0,0
0,0,0,2,0,17,0,0
0,0,1,5,41,0,4,1
0,0,0,0,4,0,2,0
0,0,0,3,0,0,0,0
0,0,0,13,0,0,2,0
0,0,0,32,0,1,8,0
0,0,0,17,0,0,0,0
0,0,0,3,0,0,0,0
0,0,0,2,1,0,2,0
0,0,0,9,16,0,0,0
0,0,0,33,1,3,4,0
0,0,0,8,12,0,0,0
0,1,0,10,0,0,0,0
0,0,0,1,0,1,12,0
0,0,0,9,0,2,3,0
0,0,0,12,0,0,0,0
0,0,0,0,0,0,14,0
0,0,0,0,0,1,0,0
0,5,0,29,0,0,40,0
0,0,0,7,0,0,9,0
0,9,0,11,0,0,7,0
0,0,0,5,0,0,12,0
0,0,0,13,0,0,0,0
0,0,0,23,11,0,0,0
0,2,0,6,0,0,0,0
0,0,0,3,2,0,3,0
