15,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,2,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12
10,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,2,0,0,0,0,0,0,0
11,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
24,0,2,5,1,0,2,0,0,10,4,0,0,26,0,1,0,0,0,0,0,0,0
13,0,0,0,0,5,0,0,0,27,1,0,0,0,0,3,0,0,0,2,2,15,0
4,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,2,5,0,0,15,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0
