2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0
15,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,5,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
15,0,0,0,0,0,0,8,0,0,0,0,3,0,0,3,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,3,0,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,10,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,2,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0
2,0,0,0,0,1,0,0,3,10,0,0,0,1,0,0,0,0,0,0,0
