0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
0,3,0,0,0,0,7,1,0,0,2,0,7,0,2,2,3,1,0,0,0,1,0,2,2,1,0,0,8,0,14,13,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14
0,0,25,6,0,1,4,19,0,0,6,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,7,0,0,0,0
0,0,4,0,5,0,7,29,1,7,0,0,0,0,7,3,0,4,0,1,0,0,3,0,14,6,0,23,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,2,3,1,2,0,0,3,0,0,0
0,0,2,0,0,13,6,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,1,3,0,4,0,0,0,0,0,0
0,2,0,1,4,9,31,11,0,22,3,0,0,0,5,4,4,14,0,0,0,0,5,0,3,9,1,2,4,0,0,0,0,0
0,6,0,2,0,7,1,4,1,0,0,0,1,87,0,0,0,0,0,0,0,15,0,0,0,1,2,0,0,4,0,1,0,0
20,0,5,1,1,0,0,11,1,3,51,37,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,0,2,1,1,0,0,0
0,0,0,0,0,0,0,0,0,36,0,0,0,0,4,0,3,0,12,0,15,0,1,2,2,7,1,0,0,0,1,0,3,0
0,0,12,1,6,1,10,7,20,14,11,0,0,0,0,0,0,0,0,0,0,0,17,14,7,16,0,1,0,0,0,0,0,0
