51,0,0,0,11,3,11,11,0
0,0,0,0,0,1,0,0,0
0,1,0,0,0,5,0,0,0
2,0,0,0,2,3,0,0,0
3,0,0,0,0,5,0,0,1
3,14,0,0,0,34,0,0,0
0,0,0,0,0,7,0,0,0
0,0,0,0,2,1,2,0,0
0,0,1,0,1,23,0,0,0
0,0,0,0,0,1,0,0,0
0,5,0,0,3,22,0,14,0
0,0,0,0,0,7,0,5,0
0,1,0,0,0,4,0,0,0
0,16,0,0,0,0,0,0,0
1,0,3,0,0,0,0,3,0
0,10,0,0,0,0,0,0,0
0,1,0,0,0,5,0,7,0
0,1,0,0,0,0,0,1,0
0,0,0,0,1,24,0,0,0
0,1,0,0,4,22,0,1,0
0,2,0,0,3,24,0,1,1
0,0,0,3,0,1,0,0,0
0,1,0,0,0,0,0,0,0
1,0,0,0,0,5,0,0,30
0,0,0,0,2,3,0,5,0
22,1,1,0,3,5,0,0,3
26,3,0,0,10,6,7,1,24
0,0,0,0,0,3,0,1,0
0,0,0,0,0,11,0,0,0
0,0,0,0,0,0,0,0,4
0,1,0,0,0,5,0,2,0
